scenario,method,expanded_nodes,fringe_size,depth,path
Scenario 41,BFS,4,4,2,up->up
Scenario 41,DFS,30,42,30,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up
Scenario 41,UCS,4,4,2,up->up
Scenario 41,A*,3,4,2,up->up
Scenario 41,h3,2,3,2,up->up
Scenario 42,BFS,6,8,2,up->left
Scenario 42,DFS,2639,203,160,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->up
Scenario 42,UCS,6,8,2,up->left
Scenario 42,A*,5,8,2,up->left
Scenario 42,h3,2,5,2,up->left
Scenario 43,BFS,7,8,2,left->left
Scenario 43,DFS,2,4,2,left->left
Scenario 43,UCS,7,8,2,left->left
Scenario 43,A*,6,8,2,left->left
Scenario 43,h3,2,3,2,left->left
Scenario 44,BFS,26,18,4,right->up->left->up
Scenario 44,DFS,2879,203,160,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->down->right->up->up->left->left->down->right->down->right->up->up->left->down->down->left->up->up
Scenario 44,UCS,26,18,4,right->up->left->up
Scenario 44,A*,25,18,4,right->up->left->up
Scenario 44,h3,4,6,4,right->up->left->up
Scenario 45,BFS,1,2,0,No Path
Scenario 45,DFS,0,0,0,No Path
Scenario 45,UCS,1,1,0,No Path
Scenario 45,A*,0,1,0,No Path
Scenario 45,h3,0,1,0,No Path
Scenario 46,BFS,10,8,2,left->up
Scenario 46,DFS,30,41,30,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up
Scenario 46,UCS,10,8,2,left->up
Scenario 46,A*,9,8,2,left->up
Scenario 46,h3,2,5,2,left->up
Scenario 47,BFS,18,18,4,down->left->up->left
Scenario 47,DFS,37167,203,164,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->down->right->up->up->left->left->down->down->right->right->up->left->left->up->right->down->down->left->up->right->up->left->down->right->down->left->up->right->up->left
Scenario 47,UCS,18,18,4,down->left->up->left
Scenario 47,A*,17,18,4,down->left->up->left
Scenario 47,h3,4,6,4,down->left->up->left
Scenario 48,BFS,30,18,4,left->left->up->up
Scenario 48,DFS,23461,203,158,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->down->left->up->right->down->right->up->left->down->left->up->up->right->right->down->left->down->right->up->up->left->left
Scenario 48,UCS,30,18,4,left->left->up->up
Scenario 48,A*,29,18,4,left->left->up->up
Scenario 48,h3,4,4,4,left->left->up->up
Scenario 49,BFS,22,18,4,up->left->left->up
Scenario 49,DFS,64290,203,162,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->up->right->up->left->left->down->right->down->left->up->up->right->down->left->down->right->up->up->left
Scenario 49,UCS,22,18,4,up->left->left->up
Scenario 49,A*,21,18,4,up->left->left->up
Scenario 49,h3,4,6,4,up->left->left->up
Scenario 50,BFS,7,8,2,left->left
Scenario 50,DFS,2,4,2,left->left
Scenario 50,UCS,7,8,2,left->left
Scenario 50,A*,6,8,2,left->left
Scenario 50,h3,2,3,2,left->left
Scenario 51,BFS,123,71,6,right->down->left->up->up->left
Scenario 51,DFS,70007,203,166,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->down->left->up->right->up->left->down->right->down->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->up->left->down->right->down->right->up->up->left->left
Scenario 51,UCS,123,71,6,right->down->left->up->up->left
Scenario 51,A*,122,70,6,right->down->left->up->up->left
Scenario 51,h3,8,10,6,right->down->left->up->up->left
Scenario 52,BFS,18,18,4,down->right->up->left
Scenario 52,DFS,93366,203,164,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->right->up->left->down->left->down->right->up->left->up->right->down->left->down->right->up->right->down->left->up->up->right->down->left->up->right->down->down->left->left->up->up
Scenario 52,UCS,18,18,4,down->right->up->left
Scenario 52,A*,17,18,4,down->right->up->left
Scenario 52,h3,4,6,4,down->right->up->left
Scenario 53,BFS,7,8,2,left->left
Scenario 53,DFS,2,4,2,left->left
Scenario 53,UCS,7,8,2,left->left
Scenario 53,A*,6,8,2,left->left
Scenario 53,h3,2,3,2,left->left
Scenario 54,BFS,26,18,4,right->down->left->up
Scenario 54,DFS,93362,203,166,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->right->up->left->down->left->down->right->up->left->up->right->down->left->down->right->up->right->down->left->up->up->right->down->left->up->right->down->down->left->left->up->right->up->left
Scenario 54,UCS,26,18,4,right->down->left->up
Scenario 54,A*,25,18,4,right->down->left->up
Scenario 54,h3,4,6,4,right->down->left->up
Scenario 55,BFS,10,8,2,left->up
Scenario 55,DFS,30,41,30,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up
Scenario 55,UCS,10,8,2,left->up
Scenario 55,A*,9,8,2,left->up
Scenario 55,h3,2,5,2,left->up
Scenario 56,BFS,69,51,6,down->right->right->up->left->left
Scenario 56,DFS,151877,203,0,No Path
Scenario 56,UCS,69,51,6,down->right->right->up->left->left
Scenario 56,A*,68,49,6,down->right->right->up->left->left
Scenario 56,h3,6,7,6,down->right->right->up->left->left
Scenario 57,BFS,1,2,0,No Path
Scenario 57,DFS,0,0,0,No Path
Scenario 57,UCS,1,1,0,No Path
Scenario 57,A*,0,1,0,No Path
Scenario 57,h3,0,1,0,No Path
Scenario 58,BFS,18,18,4,down->right->up->left
Scenario 58,DFS,93366,203,164,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->right->up->left->down->left->down->right->up->left->up->right->down->left->down->right->up->right->down->left->up->up->right->down->left->up->right->down->down->left->left->up->up
Scenario 58,UCS,18,18,4,down->right->up->left
Scenario 58,A*,17,18,4,down->right->up->left
Scenario 58,h3,4,6,4,down->right->up->left
Scenario 59,BFS,81,63,6,left->up->right->up->left->left
Scenario 59,DFS,2245,203,154,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->down->right->up->left->down->left->up->right->right->up->left->left
Scenario 59,UCS,81,63,6,left->up->right->up->left->left
Scenario 59,A*,80,61,6,left->up->right->up->left->left
Scenario 59,h3,6,7,6,left->up->right->up->left->left
Scenario 60,BFS,18,18,4,down->left->up->left
Scenario 60,DFS,37167,203,164,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->down->right->up->up->left->left->down->down->right->right->up->left->left->up->right->down->down->left->up->right->up->left->down->right->down->left->up->right->up->left
Scenario 60,UCS,18,18,4,down->left->up->left
Scenario 60,A*,17,18,4,down->left->up->left
Scenario 60,h3,4,6,4,down->left->up->left
Scenario 61,BFS,72,53,6,right->down->down->left->up->up
Scenario 61,DFS,121210,203,156,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->left->down->right->right->up->left->left->down->right->up->left->down->right->right->up->up->left->left->down->right->right->down->left->up->right->down->left->up->left->down->right->up->right->up->left->left->down->right->up->left
Scenario 61,UCS,72,53,6,right->down->down->left->up->up
Scenario 61,A*,71,51,6,right->down->down->left->up->up
Scenario 61,h3,6,7,6,right->down->down->left->up->up
Scenario 62,BFS,1,2,0,No Path
Scenario 62,DFS,0,0,0,No Path
Scenario 62,UCS,1,1,0,No Path
Scenario 62,A*,0,1,0,No Path
Scenario 62,h3,0,1,0,No Path
Scenario 63,BFS,7,8,2,left->left
Scenario 63,DFS,2,4,2,left->left
Scenario 63,UCS,7,8,2,left->left
Scenario 63,A*,6,8,2,left->left
Scenario 63,h3,2,3,2,left->left
Scenario 64,BFS,72,66,6,up->left->down->right->up->left
Scenario 64,DFS,2638,203,162,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->right->up->left
Scenario 64,UCS,72,66,6,up->left->down->right->up->left
Scenario 64,A*,71,62,6,up->left->down->right->up->left
Scenario 64,h3,11,13,6,up->left->down->right->up->left
Scenario 65,BFS,7,8,2,left->left
Scenario 65,DFS,2,4,2,left->left
Scenario 65,UCS,7,8,2,left->left
Scenario 65,A*,6,8,2,left->left
Scenario 65,h3,2,3,2,left->left
Scenario 66,BFS,4,4,2,up->up
Scenario 66,DFS,30,42,30,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up
Scenario 66,UCS,4,4,2,up->up
Scenario 66,A*,3,4,2,up->up
Scenario 66,h3,2,3,2,up->up
Scenario 67,BFS,85,64,6,right->right->down->left->up->left
Scenario 67,DFS,72510,203,164,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->up->right->down->down->left->left->up->right->up->right->down->left->left->down->right->right->up->left->down->right->up->left->up->left->down->right->right->up->left->down->left->up->right->down->left->up
Scenario 67,UCS,85,64,6,right->right->down->left->up->left
Scenario 67,A*,84,63,6,right->right->down->left->up->left
Scenario 67,h3,7,8,6,right->right->down->left->up->left
Scenario 68,BFS,17,18,4,up->up->left->left
Scenario 68,DFS,32,43,32,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left
Scenario 68,UCS,17,18,4,up->up->left->left
Scenario 68,A*,16,18,4,up->up->left->left
Scenario 68,h3,4,4,4,up->up->left->left
Scenario 69,BFS,6,8,2,up->left
Scenario 69,DFS,2639,203,160,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->up
Scenario 69,UCS,6,8,2,up->left
Scenario 69,A*,5,8,2,up->left
Scenario 69,h3,2,5,2,up->left
Scenario 70,BFS,89,64,6,right->right->up->left->left->up
Scenario 70,DFS,147763,203,6,right->right->up->left->left->up
Scenario 70,UCS,89,64,6,right->right->up->left->left->up
Scenario 70,A*,88,63,6,right->right->up->left->left->up
Scenario 70,h3,6,7,6,right->right->up->left->left->up
Scenario 71,BFS,10,8,2,left->up
Scenario 71,DFS,30,41,30,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up
Scenario 71,UCS,10,8,2,left->up
Scenario 71,A*,9,8,2,left->up
Scenario 71,h3,2,5,2,left->up
Scenario 72,BFS,64,46,6,up->right->down->left->up->up
Scenario 72,DFS,2848,203,158,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->down->right->up->up->left->left->down->right->down->right->up->up->left->down->left->up
Scenario 72,UCS,64,46,6,up->right->down->left->up->up
Scenario 72,A*,63,44,6,up->right->down->left->up->up
Scenario 72,h3,7,7,6,up->right->down->left->up->up
Scenario 73,BFS,10,8,2,left->up
Scenario 73,DFS,30,41,30,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up
Scenario 73,UCS,10,8,2,left->up
Scenario 73,A*,9,8,2,left->up
Scenario 73,h3,2,5,2,left->up
Scenario 74,BFS,10,8,2,left->up
Scenario 74,DFS,30,41,30,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up
Scenario 74,UCS,10,8,2,left->up
Scenario 74,A*,9,8,2,left->up
Scenario 74,h3,2,5,2,left->up
Scenario 75,BFS,7,8,2,left->left
Scenario 75,DFS,2,4,2,left->left
Scenario 75,UCS,7,8,2,left->left
Scenario 75,A*,6,8,2,left->left
Scenario 75,h3,2,3,2,left->left
Scenario 76,BFS,4,4,2,up->up
Scenario 76,DFS,30,42,30,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up
Scenario 76,UCS,4,4,2,up->up
Scenario 76,A*,3,4,2,up->up
Scenario 76,h3,2,3,2,up->up
Scenario 77,BFS,96,69,6,down->right->up->left->up->left
Scenario 77,DFS,12735,203,164,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->down->left->up->right->down->right->up->up->left->left->down->down->right->right->up->left->up->left->down->right->up->left
Scenario 77,UCS,96,69,6,down->right->up->left->up->left
Scenario 77,A*,95,65,6,down->right->up->left->up->left
Scenario 77,h3,8,10,6,down->right->up->left->up->left
Scenario 78,BFS,204,144,8,up->left->down->down->right->up->left->up
Scenario 78,DFS,2607,203,154,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left
Scenario 78,UCS,204,144,8,up->left->down->down->right->up->left->up
Scenario 78,A*,203,136,8,up->left->down->down->right->up->left->up
Scenario 78,h3,15,14,8,up->left->down->down->right->up->left->up
Scenario 79,BFS,4,4,2,up->up
Scenario 79,DFS,30,42,30,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up
Scenario 79,UCS,4,4,2,up->up
Scenario 79,A*,3,4,2,up->up
Scenario 79,h3,2,3,2,up->up
Scenario 80,BFS,202,141,8,down->right->right->up->left->down->left->up
Scenario 80,DFS,82976,203,168,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->down->left->up->right->down->left->up->up->right->down->left->up->left->down->right->down->right->up->up->left->left->down->right->down->left->up->up
Scenario 80,UCS,202,141,8,down->right->right->up->left->down->left->up
Scenario 80,A*,201,133,8,down->right->right->up->left->down->left->up
Scenario 80,h3,15,15,8,down->right->right->up->left->down->left->up
Scenario 81,BFS,18,18,4,up->right->up->left
Scenario 81,DFS,75534,203,162,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->up->left->left->down->down->right->right->up->left->left->up->right->right->down->left->down->left->up->right->right->up->left->left->down->right->right->up->left->left->down->right->down->left->up->right->down->left->up->up->right->down->left->up
Scenario 81,UCS,18,18,4,up->right->up->left
Scenario 81,A*,17,18,4,up->right->up->left
Scenario 81,h3,4,6,4,up->right->up->left
Scenario 82,BFS,123,71,6,right->down->left->up->up->left
Scenario 82,DFS,70007,203,166,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->down->left->up->right->up->left->down->right->down->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->up->left->down->right->down->right->up->up->left->left
Scenario 82,UCS,123,71,6,right->down->left->up->up->left
Scenario 82,A*,122,70,6,right->down->left->up->up->left
Scenario 82,h3,8,10,6,right->down->left->up->up->left
Scenario 83,BFS,109,69,6,left->down->right->up->up->left
Scenario 83,DFS,110069,203,162,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->up->left->down->right->down->left->up->right->right->up->left->left->down->right->down->left->up->right->right->up->left->down->down->left->up->right->up->right->down->left->left->down->right->right->up->left->up->left
Scenario 83,UCS,109,69,6,left->down->right->up->up->left
Scenario 83,A*,108,66,6,left->down->right->up->up->left
Scenario 83,h3,8,10,6,left->down->right->up->up->left
Scenario 84,BFS,85,64,6,right->right->down->left->up->left
Scenario 84,DFS,72510,203,164,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->up->right->down->down->left->left->up->right->up->right->down->left->left->down->right->right->up->left->down->right->up->left->up->left->down->right->right->up->left->down->left->up->right->down->left->up
Scenario 84,UCS,85,64,6,right->right->down->left->up->left
Scenario 84,A*,84,63,6,right->right->down->left->up->left
Scenario 84,h3,7,8,6,right->right->down->left->up->left
Scenario 85,BFS,7,8,2,left->left
Scenario 85,DFS,2,4,2,left->left
Scenario 85,UCS,7,8,2,left->left
Scenario 85,A*,6,8,2,left->left
Scenario 85,h3,2,3,2,left->left
Scenario 86,BFS,18,18,4,up->left->up->left
Scenario 86,DFS,78775,203,160,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->up->right->right->down->left->left->up->right->right->down->down->left->left->up->right->right->up->left->left->down->down->right->up->left->down->right->right->up->up->left->left
Scenario 86,UCS,18,18,4,up->left->up->left
Scenario 86,A*,17,18,4,up->left->up->left
Scenario 86,h3,4,6,4,up->left->up->left
Scenario 87,BFS,1,2,0,No Path
Scenario 87,DFS,0,0,0,No Path
Scenario 87,UCS,1,1,0,No Path
Scenario 87,A*,0,1,0,No Path
Scenario 87,h3,0,1,0,No Path
Scenario 88,BFS,18,18,4,down->left->up->left
