scenario,heuristic,expanded_nodes,fringe_size,depth,path
s184,h4,4,6,4,down->left->up->up
s185,h1,2,3,2,up->up
s185,h2,2,3,2,up->up
s185,h3,2,3,2,up->up
s185,h4,2,3,2,up->up
s186,h1,5,6,4,left->down->left->up
s186,h2,4,6,4,left->down->left->up
s186,h3,4,6,4,left->down->left->up
s186,h4,4,6,4,left->down->left->up
s187,h1,7,7,6,up->right->right->up->left->left
s187,h2,6,7,6,up->right->right->up->left->left
s187,h3,6,7,6,up->right->right->up->left->left
s187,h4,6,7,6,up->right->right->up->left->left
s188,h1,2,3,2,up->up
s188,h2,2,3,2,up->up
s188,h3,2,3,2,up->up
s188,h4,2,3,2,up->up
s189,h1,4,6,4,up->left->left->up
s189,h2,4,6,4,up->left->left->up
s189,h3,4,6,4,up->left->left->up
s189,h4,4,6,4,up->left->left->up
s190,h1,4,6,4,down->left->up->left
s190,h2,4,6,4,down->left->up->left
s190,h3,4,6,4,down->left->up->left
s190,h4,4,6,4,down->left->up->left
s191,h1,9,12,6,right->right->down->left->up->left
s191,h2,7,8,6,right->right->down->left->up->left
s191,h3,7,8,6,right->right->down->left->up->left
s191,h4,7,8,6,right->right->down->left->up->left
s192,h1,2,3,2,up->up
s192,h2,2,3,2,up->up
s192,h3,2,3,2,up->up
s192,h4,2,3,2,up->up
s193,h1,5,6,4,up->right->up->left
s193,h2,4,6,4,up->right->up->left
s193,h3,4,6,4,up->right->up->left
s193,h4,4,6,4,up->right->up->left
s194,h1,4,6,4,right->up->left->up
s194,h2,4,6,4,right->up->left->up
s194,h3,4,6,4,right->up->left->up
s194,h4,4,6,4,right->up->left->up
s195,h1,9,12,6,right->right->down->left->up->left
s195,h2,7,8,6,right->right->down->left->up->left
s195,h3,7,8,6,right->right->down->left->up->left
s195,h4,7,8,6,right->right->down->left->up->left
s196,h1,0,1,0,
s196,h2,0,1,0,
s196,h3,0,1,0,
s196,h4,0,1,0,
s197,h1,10,11,6,left->left->down->right->up->left
s197,h2,6,7,6,left->left->down->right->up->left
s197,h3,6,7,6,left->left->down->right->up->left
s197,h4,6,7,6,left->left->down->right->up->left
s198,h1,0,1,0,
s198,h2,0,1,0,
s198,h3,0,1,0,
s198,h4,0,1,0,
s199,h1,2,3,2,up->up
s199,h2,2,3,2,up->up
s199,h3,2,3,2,up->up
s199,h4,2,3,2,up->up
s200,h1,0,1,0,
s200,h2,0,1,0,
s200,h3,0,1,0,
s200,h4,0,1,0,
